ClaimNumber,DateReceived,IncidentDate,AirportCode,AirportName,AirlineName,ClaimType,ClaimSite,ItemCategory,CloseAmount,Disposition,Lat,Long,-,Audio/Video,Automobile Parts & Accessories,Baggage/Cases/Purses,"Books, Magazines & Other",Cameras,Clothing,Computer & Accessories,Cosmetics & Grooming,Crafting & Hobby,Currency,Food & Drink,Home Decor,Household Items,Hunting & Fishing Items,Jewelry & Watches,Medical/Science,Musical Instruments & Accessories,Office Equipment & Supplies,Other,Outdoor Items,Personal Accessories,Personal Documents,Personal Electronics,Personal Navigation,Sporting Equipment & Supplies,Tools & Home Improvement Supplies,Toys & Games,Travel Accessories
2015050000000,11-May-15,17-Apr-15,VPS,Okaloosa/ Northwest Florida,American Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,$240.00 ,0,30.48325,-86.5254,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015100000000,13-Oct-15,3-Nov-14,VPS,Okaloosa/ Northwest Florida,American Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$0.00 ,1,30.48325,-86.5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015120000000,29-Dec-15,29-Dec-15,VPS,Okaloosa/ Northwest Florida,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,1,30.48325,-86.5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015040000000,9-Apr-15,30-Mar-15,VLD,Valdosta Municipal,Delta Air Lines  ,Property Damage,Checked Baggage,Other,$0.00 ,1,30.7825,-83.2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015070000000,8-Jul-15,20-May-15,VLD,Valdosta Municipal,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$100.00 ,0,30.7825,-83.2767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015060000000,2-Jun-15,17-Apr-15,UNK,Unalakleet Airport,USAir  ,Property Damage,Checked Baggage,Home Decor,-,1,63.888333,-160.798889,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020000000,20-Feb-15,6-Jan-15,TYS,"Mcghee Tyson ,Knoxville",Delta Air Lines  ,Property Damage,Checked Baggage,-,$25.00 ,0,35.810972,-83.994028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015040000000,14-Apr-15,5-Mar-15,TYS,"Mcghee Tyson ,Knoxville",Delta Air Lines  ,Property Damage,Checked Baggage,Cosmetics & Grooming,$49.99 ,0,35.810972,-83.994028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015070000000,13-Jul-15,3-Jul-15,TYS,"Mcghee Tyson ,Knoxville",Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,1,35.810972,-83.994028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015070000000,23-Jul-15,8-Apr-15,TYS,"Mcghee Tyson ,Knoxville",Delta Air Lines  ,Property Damage,Checkpoint,Jewelry & Watches,$321.75 ,0,35.810972,-83.994028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015120000000,16-Nov-15,8-Nov-15,TYS,"Mcghee Tyson ,Knoxville",Frontier Airlines,Passenger Property Loss,Checkpoint,Personal Accessories,-,1,35.810972,-83.994028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015120000000,4-Dec-15,25-Sep-15,TYS,"Mcghee Tyson ,Knoxville",American Airlines  ,Property Damage,Checked Baggage,Jewelry & Watches,$150.00 ,0,35.810972,-83.994028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015010000000,21-Jan-15,17-Jan-15,TYR,Tyler Pounds Field,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,1,32.354139,-95.402386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015010000000,30-Jan-15,27-Jan-15,TYR,Tyler Pounds Field,American Eagle  ,Passenger Property Loss,Checked Baggage,-,$11.72 ,0,32.354139,-95.402386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015070000000,26-Jun-15,11-Jun-15,TYR,Tyler Pounds Field,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$100.00 ,0,32.354139,-95.402386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015060000000,2-Jun-15,30-Apr-15,TXK,Texarkana Regional Airport,USAir  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,1,33.453722,-93.991028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
